,Date,BTC,ETH,XRP,S&P500,Nifty50,gold,usd
179,2016-05-12,454.7659912109375,10.05780029296875,0.0061670602299273,2064.11,7900.4,1270.300049,94.15
180,2016-05-13,455.6700134277344,10.506600379943848,0.00610942998901,2046.61,7814.9,1271.900024,94.61
181,2016-05-16,454.1629943847656,11.171299934387209,0.0060219299048185,2066.66,7860.75,1273.400024,94.57
182,2016-05-17,453.7829895019531,12.198800086975098,0.0060232002288103,2047.21,7890.75,1276.199951,94.55
183,2016-05-18,454.6189880371094,13.558600425720217,0.006028370000422,2047.63,7870.15,1273.699951,95.08
184,2016-05-19,438.7149963378906,14.769700050354004,0.0060321697965264,2040.04,7783.4,1254.199951,95.29
185,2016-05-20,442.6759948730469,13.635600090026855,0.0060837799683213,2052.32,7749.7,1252.400024,95.33
186,2016-05-23,444.1549987792969,13.46150016784668,0.0059090899303555,2048.04,7731.05,1251.099976,95.23
187,2016-05-24,445.9809875488281,12.7322998046875,0.0059618400409817,2076.06,7748.85,1228.900024,95.57
188,2016-05-25,449.5989990234375,12.526000022888184,0.0057559600099921,2090.54,7934.9,1223.5,95.35
189,2016-05-26,453.3840026855469,12.430399894714355,0.0056689400225877,2090.1,8069.65,1220.099976,95.17
190,2016-05-27,473.4639892578125,11.29580020904541,0.0056792199611663,2099.06,8156.65,1213.800049,95.52
191,2016-05-31,531.385986328125,14.077300071716309,0.0057061598636209,2096.96,8160.1,1214.800049,95.89
192,2016-06-01,536.9199829101562,14.001500129699709,0.0058093899860978,2099.33,8179.95,1211.900024,95.45
193,2016-06-02,537.9719848632812,13.73799991607666,0.005765609908849,2105.26,8218.95,1209.800049,95.56
194,2016-06-03,569.1939697265625,13.846699714660645,0.005826590117067,2099.13,8220.8,1240.099976,94.03
195,2016-06-06,585.5369873046875,13.934100151062012,0.0057692299596965,2109.41,8201.05,1244.599976,93.9
196,2016-06-07,576.5969848632812,14.51200008392334,0.0057796197943389,2112.13,8266.45,1244.400024,93.83
197,2016-06-08,581.64501953125,14.417699813842772,0.0057704402133822,2119.12,8273.05,1259.800049,93.59
198,2016-06-09,574.6300048828125,14.398599624633787,0.0057875597849488,2115.48,8203.6,1270.199951,93.95
199,2016-06-10,577.469970703125,13.908599853515623,0.0057361098006367,2096.07,8170.05,1273.400024,94.57
200,2016-06-13,704.3759765625,17.602699279785156,0.0058239097706973,2079.06,8110.6,1284.400024,94.36
201,2016-06-14,685.5590209960938,18.893199920654297,0.0071051898412406,2075.32,8108.85,1285.599976,94.93
202,2016-06-15,694.468994140625,18.35429954528809,0.0068867001682519,2071.5,8206.6,1285.800049,94.61
203,2016-06-16,766.3079833984375,20.588600158691406,0.0066761900670826,2077.99,8140.75,1296.099976,94.57
204,2016-06-17,748.9089965820312,15.37679958343506,0.006693220231682,2071.22,8170.2,1292.5,94.21
205,2016-06-20,737.2260131835938,11.839500427246094,0.0066260299645364,2083.25,8238.5,1290.0,93.61
206,2016-06-21,666.6519775390625,13.306699752807615,0.0061717401258647,2088.9,8219.9,1270.5,94.02
207,2016-06-22,596.1160278320312,13.095100402832031,0.0064947898499667,2085.45,8203.7,1268.0,93.72
208,2016-06-23,623.9769897460938,13.676199913024902,0.0063805398531258,2113.32,8270.45,1261.199951,93.53
209,2016-06-24,665.2990112304688,14.33209991455078,0.0064337197691202,2037.41,8088.6,1320.0,95.45
210,2016-06-27,655.2750244140625,13.883899688720703,0.0063984901644289,2000.54,8094.7,1322.5,96.54
211,2016-06-28,647.0009765625,12.175600051879885,0.0067726699635386,2036.09,8127.85,1315.300049,96.25
212,2016-06-29,639.8900146484375,12.611200332641602,0.0067771901376545,2070.77,8204.0,1323.900024,95.77
213,2016-06-30,673.3369750976562,12.46150016784668,0.0066571300849318,2098.86,8287.75,1318.400024,96.14
214,2016-07-01,676.2960205078125,12.19950008392334,0.0067867301404476,2102.95,8328.35,1336.699951,95.65
215,2016-07-05,670.6270141601562,10.61139965057373,0.0066988598555326,2088.55,8335.95,1356.400024,96.17
216,2016-07-07,640.56201171875,10.109399795532228,0.006598399952054,2097.9,8337.9,1360.099976,96.33
217,2016-07-08,666.5230102539062,11.39459991455078,0.0067154401913285,2129.9,8323.2,1356.599976,96.3
218,2016-07-11,647.6589965820312,10.458999633789062,0.0065338998101651,2137.16,8467.9,1355.0,96.57
219,2016-07-12,664.551025390625,10.51609992980957,0.0063496697694063,2152.14,8521.05,1334.099976,96.44
220,2016-07-13,654.468017578125,10.500499725341797,0.006410629954189,2152.43,8519.5,1342.400024,96.22
221,2016-07-14,658.0780029296875,11.51319980621338,0.0063849198631942,2163.75,8565.0,1331.300049,96.08
222,2016-07-15,663.2550048828125,11.951600074768066,0.0064420099370181,2161.74,8541.4,1326.5,96.58
223,2016-07-18,673.1060180664062,11.03439998626709,0.0064818798564374,2166.89,8508.7,1328.400024,96.56
224,2016-07-19,672.864013671875,11.619099617004396,0.0064052501693367,2163.78,8528.55,1331.5,97.06
225,2016-07-20,665.6849975585938,12.450599670410156,0.0063947602175176,2173.02,8565.85,1318.800049,97.2
226,2016-07-21,665.0120239257812,12.650699615478516,0.0064163301140069,2165.17,8510.1,1330.5,97.0
227,2016-07-22,650.6190185546875,14.66189956665039,0.0063029299490153,2175.03,8541.2,1323.099976,97.47
228,2016-07-25,654.0969848632812,13.836099624633787,0.0062462999485433,2168.48,8635.65,1319.300049,97.29
229,2016-07-26,651.7839965820312,11.989500045776367,0.0059976200573146,2169.18,8590.65,1320.699951,97.16
230,2016-07-27,654.3519897460938,12.972800254821776,0.0059690098278224,2166.58,8615.8,1326.599976,97.05
231,2016-07-28,655.0349731445312,12.843600273132324,0.0059736198745667,2170.06,8666.3,1332.300049,96.74
232,2016-07-29,656.9920043945312,12.794599533081056,0.006110779941082,2173.6,8638.5,1349.0,95.53
233,2016-08-01,606.27197265625,10.94159984588623,0.0059062601067125,2170.84,8636.55,1351.400024,95.71
234,2016-08-02,547.4650268554688,8.787280082702637,0.0056896097958087,2157.03,8622.9,1364.400024,95.06
235,2016-08-03,566.35498046875,10.293899536132812,0.0056458502076566,2163.79,8544.85,1356.099976,95.56
236,2016-08-04,578.2890014648438,11.042799949645996,0.0058156000450253,2164.25,8551.1,1358.800049,95.76
237,2016-08-05,575.0430297851562,10.925399780273438,0.0064472099766135,2182.87,8683.15,1336.400024,96.19
238,2016-08-08,591.0540161132812,11.245400428771973,0.0060267802327871,2180.89,8711.35,1333.400024,96.4
239,2016-08-09,587.801025390625,12.24429988861084,0.0061630601994693,2181.74,8678.25,1339.0,96.18
240,2016-08-10,592.10302734375,12.143199920654297,0.0061943400651216,2175.49,8575.3,1344.300049,95.65
241,2016-08-11,589.1199951171875,11.690899848937988,0.0061894198879599,2185.79,8592.15,1342.5,95.86
242,2016-08-12,587.5590209960938,11.778499603271484,0.0061227600090205,2184.05,8672.15,1335.800049,95.72
243,2016-08-16,577.4390258789062,11.139699935913086,0.0061401799321174,2178.15,8642.55,1350.5,94.79
244,2016-08-17,573.2160034179688,10.752799987792969,0.0061089200899004,2182.22,8624.05,1342.699951,94.72
245,2016-08-18,574.3179931640625,10.756099700927734,0.0061217001639306,2187.02,8673.25,1351.199951,94.16
246,2016-08-19,575.6300048828125,10.748700141906738,0.0061193900182843,2183.87,8666.9,1340.400024,94.51
247,2016-08-22,586.7529907226562,11.12090015411377,0.0060001499950885,2182.64,8629.15,1337.699951,94.52
248,2016-08-23,583.4149780273438,11.030599594116213,0.0060194102115929,2186.9,8632.6,1340.599976,94.54
249,2016-08-24,580.1820068359375,11.03600025177002,0.0060515101067721,2175.44,8650.3,1324.400024,94.79
250,2016-08-25,577.760986328125,11.357399940490724,0.0060791200958192,2172.47,8592.2,1320.099976,94.77
251,2016-08-26,579.6510009765625,11.29539966583252,0.0060301800258457,2169.04,8572.55,1321.5,95.57
252,2016-08-29,574.1069946289062,10.983799934387209,0.0061310501769185,2180.38,8607.45,1322.900024,95.58
253,2016-08-30,577.5029907226562,11.228899955749512,0.0060261702165007,2176.12,8744.35,1311.699951,96.05
254,2016-08-31,575.4719848632812,11.67240047454834,0.0060123698785901,2170.95,8786.2,1306.900024,96.02
